Changes to be reflected on webiste,,Check Status,State Name,State Shortname,Entity,File Name,Google drive link,Document heirarchy,Parent file name,Source Link,Title length,ID as per document,Document title,Document short name,Type of Document/ Document Type-detail,Date of issuance,Year of Issuance,Petitioner,Respondents,Start year of consideration,End year of consideration,Document type,Sector,Sub-sector,Status,Issuing authority,Type of issuing authority,Additional tags,About document,Document format,Summary available on indiaredata.org,Sharmila's Comment,Amruta's Comments
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-Principal,https://drive.google.com/file/d/1Bc5NPjxEuot7q9K9Ylw87TozJbPHPwNe/view?usp=drive_link,Parent,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/storage/pdf-files/Regulations/KERC_Power_Procurement_Renewable_Sources_Distribution_Licensee_and_Renewable_EnergyRegulation_2011.pdf,171,Notification No. S/03/1,"Karnataka Electricity Regulatory Commission (Power Procurement from Renewable Sources by Distribution License and Renewable Energy Certificate Framework) Regulations, 2011",KERC RPO Regulations 2011-Principal,,16 Mar 2011,2011,,,1 Apr 2011,,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-1st_Amendment-2011,https://drive.google.com/file/d/1A00tkFpv5EmPP4oeEZdUUByZiHnACO1z/view?usp=drive_link,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/storage/pdf-files/Regulations/KERC_Procurement_of_Energy_from_Renewable_Sources_1st_Amendment_Regulation_2011.pdf,126,Notification No. S/03/1,"Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (First Amendment) Regulations, 2011",KERC RPO Regulations 2011-1st Amendment,,20 Dec 2011,2011,,,20 Dec 2011,,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-2nd_Amendment-2012,https://drive.google.com/file/d/18RBRYzzCr5ZOxT21f0vMYnhk7IAqB8--/view?usp=drive_link,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/storage/pdf-files/Regulations/KERC_Procurement_of_Energy_from_Renewable_Sources_2ndt_Amendment_Regulation_2012.pdf,127,Notification No. S/03/1,"Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (Second Amendment) Regulations, 2012",KERC RPO Regulations 2011-2nd Amendment,,14 Sep 2012,2012,,,14 Sep 2012,,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-3rd_Amendment-2015,https://drive.google.com/file/d/1H5PzTZbH8gSG4z3H94YB3l8LT5Jt1l5H/view?usp=drive_link,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/storage/pdf-files/Regulations/3rd_Amendment-Notification_No.Y-01-15-1368_dated-16.11.2015.pdf,126,Notification No. Y/01/15/1368,"Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (Third Amendment) Regulations, 2015",KERC RPO Regulations 2011-3rd Amendment,,16 Nov 2015,2015,,,16 Nov 2015,,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-4th_Amendment-2016,https://drive.google.com/file/d/1FRgNo0CBMMvsMs6I8zNKrEko_lIlj0ym/view?usp=drive_link,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/storage/pdf-files/Regulations/4th_Amendment_Notification_No_Y03162641_Dated_21.02.2017.pdf,127,Notification No. Y/03/16/2641,"Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (Fourth Amendment) Regulations, 2016",KERC RPO Regulations 2011-4th Amendment,,21 Feb 2017,2017,,,2016,,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-5th_Amendment-2017,https://drive.google.com/file/d/1-6sgDpS9KAWdmmttOwh69AHbFrZkJMN4/view?usp=drive_link,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/storage/pdf-files/Regulations/KERC%20(Procurement%20of%20Energy%20from%20Renewable%20Sources)%20(Fifth%20Amendment)%20Regulations%2C%202017.pdf,126,Notification No. Y/02/17,"Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (Fifth Amendment) Regulations, 2017",KERC RPO Regulations 2011-5th Amendment,,15 Feb 2018,2018,,,1 Apr 2017,,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-6th_Amendment-2018,https://drive.google.com/file/d/1XB2Yk3ZmxdZHUMmDJau6gWUJxt1oP674/view?usp=drive_link,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1685000830.pdf,126,Notification No. Y/01/18,"Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (Sixth Amendment) Regulations, 2018",KERC RPO Regulations 2011-6th Amendment,,15 Nov 2018,2018,,,15 Nov 2018,,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-7th_Amendment-2019,https://drive.google.com/file/d/10bN6epxFmsaHXUhALNLuj5jDIoRpbZ5R/view?usp=drive_link,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/storage/pdf-files/Regulations/KERC%20Procurement%20of%20Energy%20from%20Renewable%20Sources%20Seventh%20Amendment%20Regulations%202019.pdf,128,Notification No. Y/01/2019-20/1016,"Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (Seventh Amendment) Regulations, 2019",KERC RPO Regulations 2011-7th Amendment,,19 Nov 2019,2019,,,19 Nov 2019,,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-8th_Amendment-2022,https://drive.google.com/file/d/1kuqU6PzHCjcPxkN-JkvF8UmYTGw09JCI/view?usp=drive_link,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1658303233.pdf,127,Notification No. Y/01/22/462,"Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (Eighth Amendment) Regulations, 2022",KERC RPO Regulations 2011-8th Amendment,,12 Jul 2022,2022,,,1 Apr 2022,,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
,,Checked 19Nov2024/Sharmila/Final/RPO,Karnataka,KA,,KA-KERC-RPO-Regulation-2011-9th_Amendment-2022,https://drive.google.com/file/d/1MQkoiTZzS8Pj78iBDDaNam71Vf_SEdyk/view?usp=drive_link,Child,KA-KERC-RPO-Regulation-2011-Principal,https://kerc.karnataka.gov.in/uploads/media_to_upload1671178406.pdf,126,Notification No. KERC/DD(TRN)/Y/02/22/1849,"Karnataka Electricity Regulatory Commission (Procurement of Energy from Renewable Sources) (Ninth Amendment) Regulations, 2022",KERC RPO Regulations 2011-9th Amendment,,25 Nov 2022,2022,,,1 Apr 2022,31 Mar 2023,Regulation,RPO,RPO Targets,Active,KERC,Commission,,,pdf,,,
